Name	Depth	Clade	Quantity	Status
Bacteroides_salyersiae	Species	291644	0.019241199966900182	HEALTY
Coprococcus_catus	Species	116085	0.1408666010445656	HEALTY
Butyricimonas_paravirosa	Species	1472417	0.03399590056555026	HEALTY
Clostridium_fessum	Species	2126740	0.14110769950757399	HEALTY
Alistipes_finegoldii	Species	214856	0.07274110154799748	HEALTY
Fusicatenibacter_sp_CLA_AA_H277	Species	2881276	0.05465030021052089	HEALTY
Slackia_isoflavoniconvertens	Species	572010	0.039129000490894426	HEALTY
Lachnospiraceae_bacterium_AM48_27BH	Species	2292271	0.015230700053619642	HEALTY
Clostridiaceae_bacterium_AF18_31LB	Species	2292182	0.03997149995618317	HEALTY
Blautia_glucerasea	Species	536633	0.11631680100036078	HEALTY
Blautia_obeum	Species	40520	0.5967403909877255	HEALTY
Candidatus_Borkfalkia_ceftriaxoniphila	Species	2508949	0.008267100219978101	HEALTY
Anaerobutyricum_soehngenii	Species	105843	0.08215170102098968	HEALTY
Clostridium_sp_AM22_11AC	Species	2293024	0.07901839953760842	HEALTY
Butyricimonas_virosa	Species	544645	0.024527799851996105	HEALTY
Eubacterium_ventriosum	Species	39496	0.13738979922325456	HEALTY
Coprobacter_secundus	Species	1501392	0.005620799932829304	HEALTY
Intestinibacter_bartlettii	Species	261299	0.04426350020522962	HEALTY
Roseburia_sp_AF02_12	Species	2293126	0.09980929794701522	HEALTY
Oliverpabstia_intestinalis	Species	2606633	0.09793279974526928	HEALTY
Mediterraneibacter_faecis	Species	592978	0.4508760940959322	HEALTY
Clostridium_sp_AF20_17LB	Species	2292205	0.022972099986494226	HEALTY
Acidaminococcus_intestini	Species	187327	0.18954940049040933	HEALTY
Alistipes_ihumii	Species	1470347	0.09459549967123551	HEALTY
Clostridiaceae_bacterium_Marseille_Q4143	Species	2830657	0.03565960004072221	HEALTY
Faecalibacillus_intestinalis	Species	1982626	0.08679429980554557	HEALTY
Lachnospiraceae_bacterium	Species	1898203	0.07917619994724356	HEALTY
Eubacterium_ramulus	Species	39490	0.0928599998691562	HEALTY
Ruminococcus_gnavus	Species	33038	0.165724497275095	HEALTY
Eubacterium_siraeum	Species	39492	0.136720094925057	HEALTY
Clostridium_sp_AF12_28	Species	2292201	0.004371200046929398	HEALTY
Dorea_formicigenerans	Species	39486	0.15101849941135256	HEALTY
Vescimonas_coprocola	Species	2714355	0.2080931033625517	HEALTY
Dysosmobacter_welbionis	Species	2093857	0.12969789976544416	HEALTY
Roseburia_inulinivorans	Species	360807	0.40600330224577325	HEALTY
Hydrogenoanaerobacterium_saccharovorans	Species	474960	0.032592000099948615	HEALTY
Faecalibacterium_sp_CLA_AA_H233	Species	2881266	0.06531140102946915	HEALTY
Clostridium_sp_1001270J_160509_D11	Species	2787103	0.005174300163045516	HEALTY
Blautia_luti	Species	89014	0.05136360023875114	HEALTY
Ruminococcus_lactaris	Species	46228	0.12170750070102855	HEALTY
Bifidobacterium_catenulatum	Species	1686	0.33183991396019347	HEALTY
Blautia_massiliensis	Species	1737424	0.8049923996999682	HEALTY
Coprobacter_fastidiosus	Species	1099853	0.03657810085392157	HEALTY
Victivallis_lenta	Species	2606640	0.0130096000541265	HEALTY
Methanobrevibacter_smithii	Species	2173	0.2588583040660681	HEALTY
Eubacterium_sp_AF34_35BH	Species	2293107	0.03894310049011059	HEALTY
Alistipes_senegalensis	Species	1288121	0.031193399548365947	HEALTY
Bacteroides_xylanisolvens	Species	371601	0.39627910442985065	HEALTY
Clostridium_disporicum	Species	84024	0.001484500020744206	HEALTY
Clostridium_leptum	Species	1535	0.034957799744939184	HEALTY
Ruminococcus_torques	Species	33039	0.26953759742046807	HEALTY
Clostridium_sp_AM33_3	Species	2292304	0.012740600012529125	HEALTY
Anaerotignum_faecicola	Species	2358141	0.06998610032711897	HEALTY
Allisonella_histaminiformans	Species	209880	0.011153800046515472	HEALTY
Adlercreutzia_equolifaciens	Species	446660	0.1664285019388089	HEALTY
Oscillibacter_sp_MSJ_31	Species	2841526	0.10574519976628598	HEALTY
Veillonella_parvula	Species	29466	0.02325889972050071	HEALTY
Lachnospiraceae_bacterium_CLA_AA_H215	Species	2885348	0.01907769983910581	HEALTY
Parasutterella_excrementihominis	Species	487175	0.04209780000677222	HEALTY
Turicibacter_sanguinis	Species	154288	0.005207999911304244	HEALTY
Senegalimassilia_anaerobia	Species	1473216	0.03613300038732612	HEALTY
Streptococcus_thermophilus	Species	1308	0.06679190016789466	HEALTY
Dorea_sp_AF36_15AT	Species	2292041	0.03396429982967339	HEALTY
Enterococcus_faecium	Species	1352	0.032717699569036786	HEALTY
Alistipes_indistinctus	Species	626932	0.054770300128968476	HEALTY
Lawsonibacter_asaccharolyticus	Species	2108523	0.07224440044688	HEALTY
Clostridium_sp_NSJ_42	Species	2763037	0.009063200169228413	HEALTY
Ruminococcus_sp_AF41_9	Species	2292069	0.002735899994789429	HEALTY
Clostridiaceae_bacterium_Marseille_Q4145	Species	2830658	0.01566089996275279	HEALTY
Oscillospiraceae_bacterium_Marseille_Q3528	Species	2830655	0.009564500004870366	HEALTY
Bacteroides_nordii	Species	291645	0.003439399976644636	HEALTY
