Depth	Taxaid	Taxonomic Tree	MetaPhlAn Average	Kraken Average
Family	85025	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Nocardiaceae	0	3.7340578548838905e-06	-3.7340578548838905e-06
Family	31989	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae	0	2.378456709294148e-06	-2.378456709294148e-06
Family	1643824	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	2.489999887935133e-05	6.96185084391953e-05	-4.471850955984397e-05
Family	995019	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	0.027446899701770857	0.0007849167800767766	0.02666198292169408
Family	3046368	Bacteria|Bacillota|Clostridia|Eubacteriales|Aristaeellaceae	0	2.7195172950382195e-05	-2.7195172950382195e-05
Family	186828	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	1.3599999785474151e-05	0	1.3599999785474151e-05
Family	128827	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.00133669998547585	0.0002420909191630999	0.00109460906631275
Family	543314	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_Family_XIII_Incertae_Sedis	9.609999895580848e-05	0.00022048224159460018	-0.00012438224263879168
Family	84107	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.0019400999789195004	0.003919054120691157	-0.0019789541417716563
Family	80864	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae	0	1.4037133066151393e-05	-1.4037133066151393e-05
Family	32033	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0.0008740000601074021	0	0.0008740000601074021
Family	90964	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	9.99999954246301e-07	2.4501177715464247e-05	-2.3501177761217947e-05
Family	194924	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	0.002931999968141836	0.00045392401816138453	0.0024780759499804517
