Depth	Taxa_id	Taxonomic_Tree	MetaPhlAn_mean	Kraken_mean	Metaphlan/Kraken(%)
Family	171552	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.030894402337451138	0.04068706137305238	75.93
Family	543314	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_Family_XIII_Incertae_Sedis	0.0026222132022758935	0.0008671261214980164	302.4
Family	2049	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales|Actinomycetaceae	0.0003940013189930816	0.0006015252091836463	65.5
Family	543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.001807990797439192	0.003446244323052891	52.46
Family	33958	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.0010603894770518545	0.001385862288708416	76.51
Genus	1769710	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Sellimonas	0.0008726105409679453	0.0014935243200389138	58.43
Genus	84111	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella	0.0016275644747697434	0.0031864068966297606	51.08
Genus	838	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.006339199950333012	0.0017838397149217199	355.37
Genus	1905344	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruthenibacterium	0.002452627645169127	0.00511199553254061	47.98
Genus	2944198	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Wansuia	0.00012628026468799154	0.0007005587414279003	18.03
Genus	2719313	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Enterocloster	0.0010608118476128326	0.003930015524021135	26.99
Genus	1506553	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium	0.000827135539872682	0.004099049439850615	20.18
Genus	1928820	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Intestinibacillus	2.5706578545209767e-05	0.0008683508782538702	2.96
Genus	1654	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales|Actinomycetaceae|Actinomyces	0.00015992894890165947	7.720578364723481e-05	207.15
Genus	561	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia	0.0015169158029133317	0.0032453867130236972	46.74
Genus	1918536	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Longicatena	7.543684475704218e-05	0.0003410997786953416	22.12
Genus	33024	Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium	0.0020152052753304333	0.002433162541520904	82.82
Genus	2529408	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales|Actinomycetaceae|Schaalia	0.00016356973727330677	0.0005243194255364119	31.2
Genus	1649459	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Hungatella	0.00031966185975035733	0.0015948825776435109	20.04
Species	1681	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_bifidum	0.009791369827434789	0.00707176943022	138.46
Species	28026	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_pseudocatenulatum	0.0017458171744572247	0.0030979896046993464	56.35
Species	1653434	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Sellimonas|Sellimonas_intestinalis	0.0008713684357157037	0.0014935243200389138	58.34
Species	84112	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella|Eggerthella_lenta	0.001624222369366313	0.0030170658365310755	53.83
Species	1550024	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruthenibacterium|Ruthenibacterium_lactatiformans	0.002452627645169127	0.00511199553254061	47.98
Species	1335613	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter|Gordonibacter_urolithinfaciens	0.0002982486949560633	0.0006072926823928377	49.11
Species	292800	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Flavonifractor|Flavonifractor_plautii	0.0017997276337300388	0.006314260484267183	28.5
Species	817	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_fragilis	0.0018973723610801643	0.006378409593548107	29.75
Species	105841	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerostipes|Anaerostipes_caccae	5.453289504444498e-05	0.0002714155041221676	20.09
Species	2763667	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Wansuia|Wansuia_hejianensis	0.00012628026468799154	0.0007005587414279003	18.03
Species	33035	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_producta	7.112631776136899e-05	0.0004237943821030681	16.78
Species	29347	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium|Clostridium_scindens	0.00042525395687676066	0.002852392381359342	14.91
Species	301301	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Roseburia|Roseburia_hominis	0.0017479565731529773	0.00639223430539484	27.35
Species	1522	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Clostridium_innocuum	0.0008634052981270079	0.0022476064846989638	38.41
Species	1351	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_faecalis	0.0003549302699479083	0.00046781980712220914	75.87
Species	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia_coli	0.0015169158029133317	0.0032453867130236972	46.74
Species	1796635	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Longicatena|Longicatena_caecimuris	7.543684475704218e-05	0.0003410997786953416	22.12
Species	33025	Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium|Phascolarctobacterium_faecium	0.001453580260704186	0.001794003693684799	81.02
Species	1322	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_hansenii	0.00016335395252230745	0.000599006006412089	27.27
Species	1547	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Erysipelatoclostridium_ramosum	0.000470838155392106	0.0008363077478960221	56.3
Species	208479	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Enterocloster|Enterocloster_bolteae	0.0002750250013326314	0.0017491857382688797	15.72
Species	154046	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Hungatella|Hungatella_hathewayi	0.00031966185975035733	0.0015948825776435109	20.04
